City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,launceston,-41.45,147.1667,24.78,50,75,2.06,AU,1674351820
1,barra do garcas,-15.89,-52.2567,22.64,93,100,0.49,BR,1674351821
2,bluff,-46.6,168.3333,13.93,82,97,5.79,NZ,1674351623
3,provideniya,64.3833,-173.3,-26.37,81,34,4.03,RU,1674351707
4,billings,45.7833,-108.5007,4.17,48,75,8.23,US,1674351438
5,georgetown,5.4112,100.3354,26.96,93,20,1.54,MY,1674351610
6,sioux lookout,50.1001,-91.917,-5.96,86,100,2.57,CA,1674351751
7,atuona,-9.8,-139.0333,25.91,80,25,7.88,PF,1674351658
8,chuy,-33.6971,-53.4616,20.6,93,72,1.84,UY,1674351661
9,tarakan,3.3,117.6333,27.72,83,40,2.57,ID,1674351824
10,hobart,-42.8794,147.3294,19.04,83,84,2.08,AU,1674351430
11,cherskiy,68.75,161.3,-43.18,100,84,1.79,RU,1674351751
12,cape town,-33.9258,18.4232,22.99,71,40,3.09,ZA,1674351505
13,puerto ayora,-0.7393,-90.3518,24.19,96,52,0.89,EC,1674351591
14,taonan,45.3333,122.7833,-21.55,76,100,5.53,CN,1674351826
15,tasiilaq,65.6145,-37.6368,-16.91,47,31,10.58,GL,1674351632
16,dikson,73.5069,80.5464,-18.94,93,100,11.94,RU,1674351809
17,taltal,-25.4,-70.4833,19.59,78,16,0.93,CL,1674351827
18,port lincoln,-34.7333,135.8667,19.98,64,7,6.49,AU,1674351650
19,kodiak,57.79,-152.4072,0.73,55,0,2.57,US,1674351651
20,chirongui,-12.9319,45.1483,24.96,79,100,8.82,YT,1674351829
21,jieshi,22.8134,115.8257,16.66,82,100,3.33,CN,1674351829
22,mahebourg,-20.4081,57.7,24.16,88,40,1.54,MU,1674351672
23,sunnyside,46.3237,-120.0087,1.49,86,40,3.09,US,1674351657
24,mataura,-46.1927,168.8643,18.26,51,94,3.92,NZ,1674351612
25,albany,42.6001,-73.9662,-0.2,79,99,0.45,US,1674351501
26,kapaa,22.0752,-159.319,27.18,74,40,4.12,US,1674351693
27,rolla,37.9514,-91.7713,4.28,68,100,2.68,US,1674351832
28,santa rosa,14.3122,121.1114,28.38,75,99,6.35,PH,1674351629
29,rio gallegos,-51.6226,-69.2181,15.03,36,75,9.77,AR,1674351528
30,vaini,-21.2,-175.2,30.09,79,20,4.63,TO,1674351610
31,longyearbyen,78.2186,15.6401,-2.09,74,75,13.89,SJ,1674351690
32,avarua,-21.2078,-159.775,28.03,74,75,2.06,CK,1674351715
33,hovd,48.0056,91.6419,-21.02,87,100,2.02,MN,1674351836
34,arvi,20.9833,78.2333,19.09,61,5,0.42,IN,1674351836
35,fayaoue,-20.65,166.5333,26.44,90,100,11.31,NC,1674351837
36,hami,42.8,93.45,-11.32,50,1,3.83,CN,1674351838
37,arraial do cabo,-22.9661,-42.0278,22.82,89,10,3.25,BR,1674351721
38,vicuna,-30.0319,-70.7081,13.85,62,0,0.45,CL,1674351838
39,husavik,66.0449,-17.3389,0.3,76,100,7.27,IS,1674351757
40,port elizabeth,-33.918,25.5701,23.94,89,0,8.23,ZA,1674351601
41,khash,28.2211,61.2158,-0.28,51,0,2.15,IR,1674351840
42,kulob,37.9145,69.783,-2.58,93,75,1.0,TJ,1674351840
43,yellowknife,62.456,-114.3525,-9.69,85,100,4.12,CA,1674351428
44,hermanus,-34.4187,19.2345,16.56,81,82,2.18,ZA,1674351617
45,tiksi,71.6872,128.8694,-28.1,89,100,2.13,RU,1674351597
46,rikitea,-23.1203,-134.9692,25.73,78,100,7.87,PF,1674351620
47,saint anthony,45.0205,-93.218,-4.03,91,100,3.09,US,1674351843
48,busselton,-33.65,115.3333,30.12,32,0,4.54,AU,1674351751
49,mpika,-11.8343,31.4529,15.66,98,100,2.22,ZM,1674351844
50,yagodnoye,62.55,149.6667,-26.04,96,100,2.54,RU,1674351844
51,barrow,71.2906,-156.7887,-18.99,78,100,1.54,US,1674351683
52,westport,41.1415,-73.3579,3.64,68,100,2.06,US,1674351667
53,la ronge,55.1001,-105.2842,-6.86,93,40,1.54,CA,1674351602
54,torbay,47.6666,-52.7314,0.42,99,100,12.35,CA,1674351608
55,saldanha,-33.0117,17.9442,17.84,93,26,2.37,ZA,1674351846
56,thompson,55.7435,-97.8558,-10.91,92,100,3.09,CA,1674351636
57,bow island,49.8668,-111.3684,3.1,80,7,3.6,CA,1674351848
58,pacific grove,36.6177,-121.9166,12.82,65,0,2.24,US,1674351645
59,dingle,10.9995,122.6711,26.84,80,54,6.07,PH,1674351849
60,rincon,32.296,-81.2354,11.03,67,75,3.6,US,1674351638
61,jamestown,42.097,-79.2353,-0.23,65,100,4.63,US,1674351661
62,port alfred,-33.5906,26.891,21.21,97,99,4.47,ZA,1674351596
63,khani,41.9563,42.9566,4.76,59,100,2.65,GE,1674351850
64,ardino,41.5833,25.1333,7.84,95,100,2.56,BG,1674351851
65,mount gambier,-37.8333,140.7667,22.21,49,2,5.33,AU,1674351671
66,ponta do sol,32.6667,-17.1,18.17,79,50,3.21,PT,1674351778
67,punta arenas,-53.15,-70.9167,10.06,53,0,7.2,CL,1674351606
